Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
201114K025311,1,2011-01-29,Slight,Car,434790,383360
201114K025411,1,2011-01-24,Slight,Car,434270,393140
201114K025511,1,2011-01-26,Slight,Car,435670,390670
201114K025511,2,2011-01-26,Slight,Car,435670,390670
201114K025511,3,2011-01-26,Slight,Car,435670,390670
201114K025811,1,2011-01-28,Slight,Car,436060,388130
201114K025811,2,2011-01-28,Slight,Car,436060,388130
201114K026311,1,2011-01-25,Slight,Car,435460,388180
201114K026511,1,2011-01-26,Slight,Light goods vehicles,431170,388510
201114K026511,2,2011-01-26,Slight,Car,431170,388510
201114K026611,1,2011-01-27,Slight,Car,438540,392880
201114K026611,2,2011-01-27,Slight,Car,438540,392880
201114K026911,1,2011-01-28,Slight,Car,440420,386740
201114K027011,1,2011-01-28,Slight,Pedestrian,440310,391280
201114K027111,1,2011-01-28,Slight,Car,433610,389870
201114K027111,2,2011-01-28,Slight,Car,433610,389870
201114K027611,1,2011-01-28,Slight,Car,435680,393420
201114K027911,1,2011-01-22,Serious,Bus or Coach,436100,393020
201114K028411,1,2011-01-29,Slight,Car,436680,391170
201114K028411,2,2011-01-29,Slight,Car,436680,391170
201114K028811,1,2011-01-31,Slight,Pedal Cycle,433610,389890
201114K028911,1,2011-01-28,Slight,Car,426380,392050
201114K029011,1,2011-02-02,Slight,Car,435930,388730
201114K029311,1,2011-02-02,Serious,Motorcycle,424780,394080
201114K029511,1,2011-01-31,Slight,Bus or Coach,435770,392110
201114K029611,1,2011-02-02,Slight,Car,433560,393980
201114K029711,1,2011-02-02,Slight,Car,433790,386710
201114K029811,1,2011-02-02,Slight,Pedestrian,443260,381820
201114K029911,1,2011-02-03,Slight,Bus or Coach,438130,384930
201114K030711,1,2011-01-31,Slight,Bus or Coach,436120,393170
201114K031011,1,2011-02-02,Slight,Pedal Cycle,433730,389730
201114K031111,1,2011-01-31,Slight,Car,435940,387540
201114K031211,1,2011-02-04,Slight,Pedestrian,436500,390190
201114K031311,1,2011-02-01,Slight,Pedestrian,435190,390080
201114K032211,1,2011-02-04,Slight,Pedestrian,435660,395610
201114K032511,1,2011-02-01,Slight,Pedestrian,434890,385960
201114K033211,1,2011-02-05,Slight,Car,431970,390130
201114K033211,2,2011-02-05,Slight,Car,431970,390130
201114K033611,1,2011-02-06,Slight,Car,432280,381210
201114K034011,1,2011-02-08,Slight,Car,435890,391080
201114K034011,2,2011-02-08,Slight,Car,435890,391080
201114K034011,3,2011-02-08,Slight,Car,435890,391080
201114K035411,1,2011-02-04,Slight,Pedestrian,435520,386890
201114K035511,1,2011-02-09,Slight,Car,435860,386530
201114K035711,1,2011-02-03,Slight,Car,436880,395520
201114K035811,1,2011-02-04,Slight,Car,439950,390830
201114K036111,1,2011-02-14,Slight,Bus or Coach,430740,393360
201114K036111,2,2011-02-14,Slight,Bus or Coach,430740,393360
201114K036411,1,2011-02-08,Slight,Pedestrian,434260,393090
201114K036511,1,2011-02-08,Slight,Car,436080,387550
201114K036511,2,2011-02-08,Slight,Car,436080,387550
201114K036711,1,2011-02-08,Slight,Bus or Coach,435800,387470
201114K036811,1,2011-02-08,Slight,Car,436550,387700
201114K036811,3,2011-02-08,Slight,Car,436550,387700
201114K036811,4,2011-02-08,Slight,Car,436550,387700
201114K036811,2,2011-02-08,Slight,Car,436550,387700
201114K037211,1,2011-02-09,Slight,Car,434500,387700
201114K037211,2,2011-02-09,Slight,Pedestrian,434500,387700
201114K037211,3,2011-02-09,Serious,Car,434500,387700
201114K037311,1,2011-02-14,Slight,Car,435780,386230
201114K037411,1,2011-02-15,Slight,Car,433430,389500
201114K037611,1,2011-02-13,Slight,Car,437560,389400
201114K038311,1,2011-02-10,Slight,Car,438780,392000
201114K038611,1,2011-02-13,Slight,Car,434720,388270
201114K038711,1,2011-02-18,Slight,Car,439140,391480
201114K038911,1,2011-02-12,Slight,Car,432940,385650
201114K039011,1,2011-02-18,Slight,Car,435090,390780
201114K039011,2,2011-02-18,Slight,Car,435090,390780
201114K039011,3,2011-02-18,Slight,Car,435090,390780
201114K039111,1,2011-02-11,Slight,Pedestrian,438310,383370
201114K039211,1,2011-02-12,Slight,Bus or Coach,435600,387110
201114K039211,2,2011-02-12,Slight,Bus or Coach,435600,387110
201114K039311,1,2011-02-10,Slight,Bus or Coach,436660,391100
201114K039411,1,2011-02-12,Serious,Pedal Cycle,439270,388030
201114K039511,1,2011-01-05,Slight,Car,433810,381210
201114K039711,1,2011-01-27,Slight,Pedestrian,436080,388380
201114K039811,1,2011-02-04,Slight,Pedestrian,434410,396210
201114K039911,1,2011-02-08,Slight,Car,436920,395670
201114K039911,2,2011-02-08,Slight,Car,436920,395670
201114K039911,3,2011-02-08,Slight,Car,436920,395670
201114K041411,1,2011-02-11,Slight,Motorcycle,433610,394170
201114K041511,1,2011-02-11,Slight,Bus or Coach,435690,387370
201114K042111,1,2011-02-12,Slight,Car,443740,381390
201114K042611,1,2011-02-14,Slight,Bus or Coach,436400,388240
201114K042711,1,2011-02-14,Slight,Car,440440,385730
201114K043011,1,2011-02-14,Slight,Bus or Coach,433570,387110
201114K043011,2,2011-02-14,Slight,Bus or Coach,433570,387110
201114K043311,1,2011-02-14,Slight,Bus or Coach,433170,389710
201114K043711,1,2011-02-15,Slight,Pedestrian,433620,385910
201114K043811,1,2011-02-15,Slight,Bus or Coach,436170,391370
201114K043911,1,2011-02-15,Slight,Motorcycle,434410,384500
201114K044311,1,2011-02-15,Slight,Other,434660,387140
201114K045211,1,2011-02-16,Slight,Pedestrian,434150,387150
201114K045411,1,2011-02-11,Slight,Pedal Cycle,432090,387090
201114K045611,1,2011-02-15,Slight,Car,434400,387340
201114K045811,1,2011-02-16,Slight,Pedestrian,429810,394860
201114K046011,1,2011-02-17,Serious,Pedestrian,439290,385500
201114K046711,1,2011-02-17,Slight,Bus or Coach,435690,380730
201114K047111,1,2011-02-15,Slight,Pedestrian,442520,380820
201114K047211,1,2011-02-18,Slight,Pedestrian,430780,379800
201114K047511,1,2011-02-16,Slight,Motorcycle,439300,384440
201114K047811,1,2011-02-26,Slight,Pedestrian,435270,385780
201114K047811,2,2011-02-26,Slight,Pedestrian,435270,385780
